항공사123,편명123,예정시간123,도착지공항123
대한항공,KE025,202403062020,샌프란시스코
대한항공,KE085,202403062035,뉴욕/존에프케네디
대한항공,KE053,202403062035,호놀룰루
대한항공,KE719,202403062040,도쿄/하네다
대한항공,KE5693,202403062055,타이베이
대한항공,KE005,202403062100,라스베이거스
대한항공,KE5769,202403062110,다낭
대한항공,KE7895,202403062125,호놀룰루
대한항공,KE5763,202403062135,클라크필드
대한항공,KE6687,202403062225,리야드
대한항공,KE647,202403062310,싱가포르
대한항공,KE5951,202403062340,두바이
대한항공,KE5679,202403070615,나트랑
대한항공,KE5075,202403070650,후쿠오카
대한항공,KE1405,202403070700,김해
대한항공,KE5749,202403070705,키타큐슈
대한항공,KE5845,202403070725,옌타이
대한항공,KE5741,202403070730,도쿄/나리타
대한항공,KE775,202403070735,고마쓰
대한항공,KE197,202403070745,신 울란바토르
대한항공,KE621,202403070745,마닐라
대한항공,KE859,202403070755,베이징/서우두
대한항공,KE5071,202403070800,오사카/ 간사이
대한항공,KE787,202403070800,후쿠오카
대한항공,KE755,202403070805,오키나와
대한항공,KE441,202403070805,하노이
대한항공,KE827,202403070815,선전
대한항공,KE171,202403070820,홍콩
대한항공,KE1407,202403070825,김해
대한항공,KE893,202403070825,상하이/푸동
대한항공,KE5869,202403070830,칭다오
대한항공,KE5061,202403070835,삿포로
대한항공,KE831,202403070850,선양(심양)
대한항공,KE5879,202403070855,상하이/푸동
대한항공,KE865,202403070855,광저우
대한항공,KE819,202403070855,장사
대한항공,KE723,202403070900,오사카/ 간사이
대한항공,KE185,202403070900,타이베이
대한항공,KE845,202403070905,칭다오
대한항공,KE469,202403070910,호찌민
대한항공,KE657,202403070915,방콕/수완나품
대한항공,KE421,202403070915,괌
대한항공,KE811,202403070920,시안
대한항공,KE117,202403070925,옌지(연길)
대한항공,KE091,202403070930,보스턴
대한항공,KE035,202403070935,애틀랜타
대한항공,KE7273,202403070935,디트로이트
대한항공,KE5775,202403070935,괌
대한항공,KE5755,202403070940,타이베이
대한항공,KE643,202403070950,싱가포르
대한항공,KE703,202403070955,도쿄/나리타
대한항공,KE081,202403071000,뉴욕/존에프케네디
대한항공,KE125,202403071005,샤먼
대한항공,KE765,202403071005,삿포로
대한항공,KE763,202403071005,니가타
대한항공,KE5745,202403071010,오키나와
대한항공,KE5681,202403071015,호찌민
대한항공,KE805,202403071015,톈진
대한항공,KE093,202403071015,워싱턴
대한항공,KE031,202403071020,댈러스포트워스
대한항공,KE767,202403071030,아오모리
대한항공,KE5683,202403071035,하노이
대한항공,KE741,202403071035,나고야
대한항공,KE173,202403071040,홍콩
대한항공,KE037,202403071040,시카고/오헤어
대한항공,KE5673,202403071045,다낭
대한항공,KE5829,202403071045,하이커우
대한항공,KE727,202403071050,오사카/ 간사이
대한항공,KE907,202403071055,런던/히드로
대한항공,KE791,202403071105,후쿠오카
대한항공,KE5943,202403071105,타슈켄트
대한항공,KE5671,202403071105,쿠알라룸푸르
대한항공,KE925,202403071110,암스테르담
대한항공,KE457,202403071110,다낭
대한항공,KE897,202403071110,상하이/푸동
대한항공,KE945,202403071130,프랑크푸르트
대한항공,KE5629,202403071135,덴파사르
대한항공,KE5901,202403071145,파리/샤를드골
대한항공,KE5847,202403071155,옌타이
대한항공,KE5853,202403071200,칭다오
대한항공,KE901,202403071210,파리/샤를드골
대한항공,KE5807,202403071215,상하이/푸동
대한항공,KE5699,202403071215,가오슝
대한항공,KE497,202403071220,델리
대한항공,KE5691,202403071225,타이베이
대한항공,KE9765,202403071230,삿포로
대한항공,KE961,202403071245,부다페스트
대한항공,KE951,202403071245,두바이
대한항공,KE869,202403071250,다롄(대련)
대한항공,KE5857,202403071255,상하이/푸동
대한항공,KE769,202403071255,삿포로
대한항공,KE913,202403071255,마드리드
대한항공,KE843,202403071305,칭다오
대한항공,KE789,202403071310,후쿠오카
대한항공,KE5843,202403071315,칭다오
대한항공,KE5867,202403071320,신 울란바토르
대한항공,KE711,202403071335,도쿄/나리타
대한항공,KE795,202403071350,오이타
대한항공,KE5849,202403071400,웨이하이
대한항공,KE931,202403071405,로마
대한항공,KE1411,202403071415,김해
대한항공,KE017,202403071430,로스앤젤레스
대한항공,KE833,202403071430,선양(심양)
대한항공,KE627,202403071505,자카르타/수카르노하타
대한항공,KE725,202403071510,오사카/ 간사이
대한항공,KE487,202403071545,푸꾸옥
대한항공,KE041,202403071600,시애틀
대한항공,KE023,202403071600,샌프란시스코
대한항공,KE187,202403071615,타이베이
대한항공,KE5885,202403071620,상하이/푸동
대한항공,KE633,202403071620,덴파사르
대한항공,KE5841,202403071640,칭다오
대한항공,KE671,202403071640,쿠알라룸푸르
대한항공,KE713,202403071655,도쿄/나리타
대한항공,KE663,202403071655,푸켓
대한항공,KE5065,202403071710,방콕/수완나품
대한항공,KE1415,202403071715,김해
대한항공,KE651,202403071720,방콕/수완나품
대한항공,KE5077,202403071720,후쿠오카
대한항공,KE629,202403071740,덴파사르
대한항공,KE5067,202403071745,푸켓
대한항공,KE7901,202403071745,아부다비
대한항공,KE5675,202403071755,호찌민
대한항공,KE411,202403071755,오클랜드(뉴질랜드)
대한항공,KE5689,202403071805,하노이
대한항공,KE667,202403071805,치앙마이
대한항공,KE475,202403071805,호찌민
대한항공,KE071,202403071820,밴쿠버
대한항공,KE5893,202403071825,상하이/푸동
대한항공,KE467,202403071830,나트랑
대한항공,KE461,202403071830,다낭
대한항공,KE645,202403071835,싱가포르
대한항공,KE623,202403071835,마닐라
대한항공,KE5031,202403071835,댈러스포트워스
대한항공,KE781,202403071840,후쿠오카
대한항공,KE455,202403071840,하노이
대한항공,KE705,202403071845,도쿄/나리타
대한항공,KE5035,202403071845,애틀랜타
대한항공,KE401,202403071845,시드니
대한항공,KE615,202403071850,세부
대한항공,KE689,202403071855,프놈펜
대한항공,KE743,202403071900,나고야
대한항공,KE853,202403071900,베이징/서우두
대한항공,KE895,202403071905,상하이/푸동
대한항공,KE653,202403071905,방콕/수완나품
대한항공,KE721,202403071905,오사카/ 간사이
대한항공,KE1433,202403071925,대구
대한항공,KE5033,202403071925,미니애폴리스
대한항공,KE1427,202403071935,김해
대한항공,KE477,202403071935,호찌민
대한항공,KE5757,202403071935,비엔티안
대한항공,KE011,202403071940,로스앤젤레스
대한항공,KE407,202403071945,브리즈번
대한항공,KE625,202403071950,마닐라
대한항공,KE177,202403072000,홍콩
대한항공,KE5019,202403072005,시애틀
대한항공,KE5781,202403072005,세부
대한항공,KE673,202403072010,방콕/수완나품
대한항공,KE659,202403072015,방콕/수완나품
대한항공,KE085,202403072035,뉴욕/존에프케네디
대한항공,KE053,202403072035,호놀룰루
대한항공,KE719,202403072040,도쿄/하네다
대한항공,KE5693,202403072055,타이베이
대한항공,KE005,202403072100,라스베이거스
대한항공,KE5769,202403072110,다낭
대한항공,KE5763,202403072135,클라크필드
대한항공,KE5753,202403072205,마카오
대한항공,KE647,202403072310,싱가포르
대한항공,KE5951,202403072340,두바이
대한항공,KE5925,202403080055,암스테르담
대한항공,KE5679,202403080615,나트랑
대한항공,KE5075,202403080650,후쿠오카
대한항공,KE1405,202403080700,김해
대한항공,KE5749,202403080705,키타큐슈
대한항공,KE5845,202403080725,옌타이
대한항공,KE5741,202403080730,도쿄/나리타
대한항공,KE621,202403080745,마닐라
대한항공,KE197,202403080745,신 울란바토르
대한항공,KE859,202403080755,베이징/서우두
대한항공,KE787,202403080800,후쿠오카
대한항공,KE441,202403080805,하노이
대한항공,KE755,202403080805,오키나와
대한항공,KE827,202403080815,선전
대한항공,KE171,202403080820,홍콩
대한항공,KE1407,202403080825,김해
대한항공,KE893,202403080825,상하이/푸동
대한항공,KE5061,202403080830,삿포로
대한항공,KE5869,202403080830,칭다오
대한항공,KE771,202403080845,오카야마
대한항공,KE831,202403080850,선양(심양)
대한항공,KE5071,202403080850,오사카/ 간사이
대한항공,KE865,202403080855,광저우
대한항공,KE819,202403080855,장사
대한항공,KE5879,202403080855,상하이/푸동
대한항공,KE723,202403080900,오사카/ 간사이
대한항공,KE185,202403080900,타이베이
대한항공,KE845,202403080905,칭다오
대한항공,KE469,202403080910,호찌민
대한항공,KE657,202403080915,방콕/수완나품
대한항공,KE421,202403080915,괌
대한항공,KE137,202403080915,우한
대한항공,KE811,202403080920,시안
대한항공,KE117,202403080925,옌지(연길)
대한항공,KE091,202403080930,보스턴
대한항공,KE035,202403080935,애틀랜타
대한항공,KE7273,202403080935,디트로이트
대한항공,KE5775,202403080935,괌
대한항공,KE5755,202403080940,타이베이
대한항공,KE643,202403080950,싱가포르
대한항공,KE703,202403080955,도쿄/나리타
대한항공,KE081,202403081000,뉴욕/존에프케네디
대한항공,KE765,202403081005,삿포로
대한항공,KE125,202403081005,샤먼
대한항공,KE5745,202403081010,오키나와
대한항공,KE093,202403081015,워싱턴
대한항공,KE805,202403081015,톈진
대한항공,KE5681,202403081015,호찌민
대한항공,KE073,202403081020,토론토
대한항공,KE101,202403081030,난징
대한항공,KE741,202403081035,나고야
대한항공,KE5627,202403081035,자카르타/수카르노하타
