항공사,편명,예정시간,도착지공항
대한항공,KE719,202403102040,도쿄/하네다
대한항공,KE5693,202403102055,타이베이
대한항공,KE005,202403102100,라스베이거스
대한항공,KE5769,202403102110,다낭
대한항공,KE7895,202403102125,호놀룰루
대한항공,KE5763,202403102135,클라크필드
대한항공,KE647,202403102310,싱가포르
대한항공,KE5951,202403102340,두바이
대한항공,KE5649,202403110005,신 울란바토르
대한항공,KE5925,202403110055,암스테르담
대한항공,KE5679,202403110615,나트랑
대한항공,KE5075,202403110650,후쿠오카
대한항공,KE1405,202403110700,김해
대한항공,KE5749,202403110705,키타큐슈
대한항공,KE5845,202403110725,옌타이
대한항공,KE5741,202403110730,도쿄/나리타
대한항공,KE197,202403110745,신 울란바토르
대한항공,KE621,202403110745,마닐라
대한항공,KE859,202403110755,베이징/서우두
대한항공,KE787,202403110800,후쿠오카
대한항공,KE5071,202403110800,오사카/ 간사이
대한항공,KE441,202403110805,하노이
대한항공,KE755,202403110805,오키나와
대한항공,KE827,202403110815,선전
대한항공,KE171,202403110820,홍콩
대한항공,KE1407,202403110825,김해
대한항공,KE893,202403110825,상하이/푸동
대한항공,KE5061,202403110835,삿포로
대한항공,KE831,202403110850,선양(심양)
대한항공,KE5879,202403110855,상하이/푸동
대한항공,KE819,202403110855,장사
대한항공,KE865,202403110855,광저우
대한항공,KE723,202403110900,오사카/ 간사이
대한항공,KE185,202403110900,타이베이
대한항공,KE845,202403110905,칭다오
대한항공,KE469,202403110910,호찌민
대한항공,KE657,202403110915,방콕/수완나품
대한항공,KE137,202403110915,우한
대한항공,KE421,202403110915,괌
대한항공,KE811,202403110920,시안
대한항공,KE117,202403110925,옌지(연길)
대한항공,KE091,202403110930,보스턴
대한항공,KE7273,202403110935,디트로이트
대한항공,KE035,202403110935,애틀랜타
대한항공,KE5775,202403110935,괌
대한항공,KE5755,202403110940,타이베이
대한항공,KE643,202403110950,싱가포르
대한항공,KE703,202403110955,도쿄/나리타
대한항공,KE081,202403111000,뉴욕/존에프케네디
대한항공,KE765,202403111005,삿포로
