"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","202208","4","26,000","1","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","202","0202","0000","송정한신","43.38","202208","20","16,500","12","1997","경강로2539번길 8","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","202208","8","28,500","13","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","202208","12","36,000","9","2005","경강로2539번길 22","","직거래","-"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","202208","18","27,000","7","2005","경강로2539번길 22","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","135.1727","202208","16","58,000","3","2009","화부산로99번길 12","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","84.9855","202208","18","48,500","12","2009","화부산로111번길 24","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","84.9855","202208","24","50,000","14","2009","화부산로111번길 24","","중개거래","강원 강릉시"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","202208","13","39,500","14","1999","가작로 78","","중개거래","강원 강릉시"
"강원도 강릉시 교동","37-11","0037","0011","교동임대","51.66","202208","12","9,800","3","1987","명륜로 109-4","","중개거래","강원 강릉시"
"강원도 강릉시 교동","834","0834","0000","덕진","40.86","202208","17","8,500","2","1988","옛강일길 28","","중개거래","강원 강릉시"
"강원도 강릉시 교동","318-4","0318","0004","매화임대","48.6","202208","22","12,500","3","1987","율곡로2968번길 26","","중개거래","강원 강릉시"
"강원도 강릉시 교동","348-6","0348","0006","서일2","27.75","202208","24","7,000","1","1987","수리골길17번길 35","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","202208","3","5,800","1","1988","관대길 63","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","75-1","0075","0001","관동2","49.94","202208","25","7,700","5","1992","남산초교길12번길 11","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","59.84","202208","5","19,500","3","1998","범일로 645","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","59.84","202208","13","18,000","16","1998","범일로 645","","직거래","-"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.3","202208","12","9,800","1","1989","관대길16번길 6","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","202208","18","17,600","3","1997","강변로 114","","직거래","-"
"강원도 강릉시 내곡동","758","0758","0000","벽산블루밍더베스트아파트","59.96","202208","12","24,000","15","2022","범일로579번길 29-6","","중개거래","강원 강릉시"
"강원도 강릉시 내곡동","758","0758","0000","벽산블루밍더베스트아파트","59.96","202208","31","21,694","12","2022","범일로579번길 29-6","","직거래","-"
"강원도 강릉시 노암동","835","0835","0000","노암2주공","49.22","202208","28","12,400","2","1984","노가니남길 25","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","59.994","202208","19","14,500","5","2000","남부로125번길 7","","직거래","-"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","39.762","202208","22","13,200","14","2000","남부로125번길 7","","중개거래","강원 강릉시"
"강원도 강릉시 노암동","711","0711","0000","신화","59.944","202208","1","19,000","1","1998","강변로 270","","중개거래","강원 강릉시"
